"","DATE","OPINION","PROS","CONS","company"
"958","Team Leader (Former Employee) - Rotherham, South Yorkshire - 22 April 2020","Enjoyed it for a bit, gets very samey and the management can be pushy about speed. Probably should be better pay for all the work expected. Very fast paced, there are worse jobs out there.","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"959","Stock Assistant (Current Employee) - Colindale, Greater London - 22 April 2020",NA,"none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"960","Sales Assistant (Former Employee) - Mapperley - 20 April 2020","Hard work but nice helpfull people. The most enjoyable part was till and contact with costumers. The managment really nice and wonderful people. Typical day at work: 4 am stocking shelfs 8 am till or shop floor.","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"961","Customer Assistant (Former Employee) - Haverhill, Suffolk - 19 April 2020",NA,"none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"962","Store Assistant (Current Employee) - Ludlow, Shropshire - 17 April 2020","Me working in aldi i found that they need recognise staff and praise them for their work and promote them according to the years they being working for company","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"963","Shop assistant and cashier (Former Employee) - Bootle, Merseyside - 16 April 2020",NA,"none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"964","Store Assistant/Cashier (Former Employee) - Runcorn, Cheshire - 13 April 2020","a typical days work I would get to work to start at 6 clock in get a till count it and confirm it with manager then work the pallets to strict time limits while jumping off and on a till and checking dates while working","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"965","FLT Driver (Former Employee) - Bolton, Greater Manchester - 13 April 2020",NA,"none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"966","Deputy Manager (Former Employee) - Reading, Berkshire - 13 April 2020","Fast paced, energetic but rewarding company to work for. All aspects of the day to day running, including warehouse work. Stock replenishment, stock rotation. Hygiene of work area. Cashier duties and excellent customer service are essential parts of the role.","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"967","Sales Assistant (Former Employee) - Guildford, Surrey - 10 April 2020",NA,"none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"968","HGV Class 1 Driver (Former Employee) - Atherstone, Warwickshire - 9 April 2020","Great job, massive place, good staff and great staff room. Pay rate is fair and everyone helps each other. Just not enough work to go around whilst the pandemic is on unfortunately.","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"969","Store Assistant (Former Employee) - Middleton, Greater Manchester - 8 April 2020",NA,"none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"970","Assistant Manager (Full Time) (Former Employee) - Banbury, Oxfordshire - 6 April 2020","Break room, free hot drinks.","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"971","Store Assistant/Cashier (Former Employee) - Glasshouse nottingham - 6 April 2020","Very dark in the yeard at night. Public transport not great for the location.","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"972","Store Assistant (Former Employee) - West Midlands - 3 April 2020","Aldi is great as long as you work hard. You are then treated well and with respect. I think many other employers could follow their example.","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"973","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020","I enjoyed the positive team and the time pressure was motivating.","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"974","Store Assistant (Former Employee) - Hemel Hempstead, Hertfordshire - 28 April 2020",NA,"Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"975","Stock Assistant (Former Employee) - Basildon, Essex - 24 April 2020","Great company to work for friendly environment great service friendly people enjoyed to busy environment learnt lots of new skills. Always busy and always something to do.","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"976","Selector (Current Employee) - Bolton, Greater Manchester - 24 April 2020",NA,"Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"977","Picker/Packer (Former Employee) - Cardiff, Cardiff - 24 April 2020","Good team to work with ","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"978","Deputy Manager/Acting Manager (Former Employee) - Haddington, East Lothian - 23 April 2020","Non stop work to keep stores stocked ","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"979","Team Leader (Former Employee) - Rotherham, South Yorkshire - 22 April 2020","Regular hours and days ","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"980","Stock Assistant (Current Employee) - Colindale, Greater London - 22 April 2020","Good vehicles and equipment good management ","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"981","Sales Assistant (Former Employee) - Mapperley - 20 April 2020","Benefits was worth using","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"982","Customer Assistant (Former Employee) - Haverhill, Suffolk - 19 April 2020",NA,"Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"983","Store Assistant (Current Employee) - Ludlow, Shropshire - 17 April 2020","great to work for, great work life balance and management very fair and very friendly environment, excellent pay and benefits and great holiday's","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"984","Shop assistant and cashier (Former Employee) - Bootle, Merseyside - 16 April 2020",NA,"Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"985","Store Assistant/Cashier (Former Employee) - Runcorn, Cheshire - 13 April 2020","I worked for Aldi for twenty years they were a good company to work for. The work was fast paced and hard work but it was rewarding and I enjoyed my years there.","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"986","FLT Driver (Former Employee) - Bolton, Greater Manchester - 13 April 2020",NA,"Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"987","Deputy Manager (Former Employee) - Reading, Berkshire - 13 April 2020","Even though the role was amazing for me, i thrived on being the best, and succeeding i might add!! I was on a great road to supervisor under my much loved manager,it was looking very promising!!","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"988","Sales Assistant (Former Employee) - Guildford, Surrey - 10 April 2020","Then one day my manager opened a new store and left and my new manager was out to get me from the start so in the end realized i was not going to get my promotion under her and then made the very hard decision to leave!","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
